Date,Mkt-RF,SMB,HML,RMW,CMA,RF
197906,    3.85,    1.00,    1.44,   -1.66,   -0.52,    0.81
197907,    0.82,    1.27,    1.86,   -0.29,    0.71,    0.77
197908,    5.53,    1.92,   -1.58,    1.62,   -1.48,    0.77
197909,   -0.82,   -0.32,   -0.90,    1.01,    0.32,    0.83
197910,   -8.10,   -3.50,   -1.84,    1.01,    0.07,    0.87
197911,    5.21,    2.53,   -3.29,    0.06,   -2.12,    0.99
197912,    1.79,    4.32,   -2.10,   -0.70,   -0.92,    0.95
198001,    5.51,    1.83,    1.75,   -1.70,    1.64,    0.80
198002,   -1.22,   -1.57,    0.61,    0.04,    2.68,    0.89
198003,  -12.90,   -6.93,   -1.01,    1.46,   -1.19,    1.21
198004,    3.97,    1.05,    1.06,   -2.10,    0.29,    1.26
198005,    5.26,    2.11,    0.38,    0.34,   -0.31,    0.81
198006,    3.06,    1.41,   -0.76,   -0.15,   -1.26,    0.61
198007,    6.49,    3.82,   -6.41,    4.06,   -2.43,    0.53
198008,    1.80,    4.25,   -2.60,    2.06,   -0.86,    0.64
198009,    2.19,    0.67,   -4.59,    1.91,   -2.76,    0.75
198010,    1.06,    2.33,   -2.76,    1.65,   -1.15,    0.95
198011,    9.59,   -3.31,   -8.33,    4.50,   -5.66,    0.96
198012,   -4.52,   -0.29,    2.79,   -1.29,    1.24,    1.31
198101,   -5.04,    3.29,    6.72,   -3.51,    4.33,    1.04
198102,    0.57,   -0.50,    1.02,    0.21,    2.22,    1.07
198103,    3.56,    3.02,    0.64,   -2.24,   -0.54,    1.21
198104,   -2.11,    4.59,    2.28,    0.83,    1.24,    1.08
198105,    0.11,    2.45,   -0.42,    0.30,   -1.53,    1.15
198106,   -2.36,   -0.96,    5.13,   -1.37,    2.66,    1.35
198107,   -1.54,   -2.05,   -0.50,    1.26,   -2.54,    1.24
198108,   -7.04,   -1.81,    4.76,   -0.32,    1.41,    1.28
198109,   -7.17,   -2.45,    5.17,    0.08,    2.63,    1.24
198110,    4.92,    2.37,   -4.21,    3.15,   -3.01,    1.21
198111,    3.36,   -1.51,    1.83,    0.08,    0.95,    1.07
198112,   -3.65,    1.20,    0.81,    0.22,    2.50,    0.87
198201,   -3.24,   -1.14,    3.19,   -1.49,    1.92,    0.80
198202,   -5.86,    0.35,    6.05,   -3.48,    4.56,    0.92
198203,   -1.87,   -0.05,    3.81,   -1.38,    2.49,    0.98
198204,    3.27,    1.09,   -2.70,    1.57,   -0.01,    1.13
198205,   -3.99,    0.64,    1.75,    0.87,   -0.30,    1.06
198206,   -3.09,   -0.52,    1.53,    0.01,    2.72,    0.96
198207,   -3.19,    0.95,    0.09,    1.04,    1.55,    1.05
198208,   11.14,   -4.35,    0.95,   -1.89,    0.09,    0.76
198209,    1.29,    2.61,    0.28,    2.14,   -0.04,    0.51
198210,   11.30,    1.92,   -3.66,    0.29,   -0.34,    0.59
198211,    4.67,    4.43,   -1.87,   -0.97,    0.27,    0.63
198212,    0.55,   -0.04,   -0.02,   -0.01,    1.02,    0.67
198301,    3.60,    3.35,   -0.75,   -1.55,   -0.58,    0.69
198302,    2.59,    2.92,    0.70,   -0.52,    1.05,    0.62
198303,    2.82,    1.37,    2.02,   -0.17,    2.74,    0.63
198304,    6.67,    0.48,    0.49,   -0.11,    1.42,    0.71
198305,    0.52,    6.30,   -1.40,   -1.84,   -1.51,    0.69
198306,    3.07,    1.18,   -3.90,    2.60,   -0.87,    0.67
198307,   -4.07,    1.01,    5.62,   -0.14,    2.81,    0.74
198308,   -0.50,   -4.32,    5.54,    0.51,    1.90,    0.76
198309,    0.91,    0.30,    1.01,    1.24,    0.50,    0.76
198310,   -3.44,   -3.77,    4.97,   -0.77,    2.96,    0.76
198311,    2.16,    1.87,   -0.72,   -0.67,    0.66,    0.70
198312,   -1.78,   -0.45,    1.73,    1.64,    1.27,    0.73
198401,   -1.92,   -0.04,    7.58,   -0.89,    2.92,    0.76
198402,   -4.82,   -1.59,    3.33,    0.90,    1.58,    0.71
198403,    0.63,   -0.29,    0.46,   -0.96,    1.17,    0.73
198404,   -0.51,   -0.95,    1.20,    3.34,    0.76,    0.81
198405,   -5.97,    0.13,    0.31,    2.36,   -0.46,    0.78
198406,    1.82,    0.11,   -2.66,    3.17,   -1.56,    0.75
