Date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
192909, -10.3134,  -2.4655,  -7.9609,  -5.8301,  -9.8426,  -7.5726,  -2.8525,  -4.7079,  -6.0842,  -2.0950,  -9.2610,   0.0135,  -1.4471,  -4.0704,  -0.6119,  -0.8643,   1.2162,  -4.3563,  -4.0748,  -7.2368,  -5.6283,  -3.8120,  -4.0339,  -7.1977,  -6.8662
192910, -26.2937, -23.6557, -16.5926, -23.7403, -16.9079, -19.6051, -19.0930, -22.7131, -16.0753, -17.4290, -28.2612, -20.3218, -12.4748, -15.3673, -19.0514, -29.2963, -22.8621, -16.4078, -13.4348, -17.0225, -24.6689, -20.3578, -13.1589, -10.5988,  -7.4875
192911,  -1.3563, -16.5163,  -3.9427, -15.8807, -15.5459, -19.3908, -14.8777,  -9.7865, -10.2741, -14.0298, -14.0294, -12.9066,  -7.7906,  -8.5715, -12.2012, -14.9201, -14.3154,  -7.6362,  -8.7952, -11.3882, -13.1881, -16.8699, -10.0958,  -9.6514,  -6.3322
192912,  -0.4171, -22.4125, -15.9780,  -7.9945,  -3.1236,  -4.7068,  -6.2239,  -7.3655,   0.5299,  -4.5194,  -2.0972,  -0.9108,   2.1092,  -1.9607,   5.3308,   2.3324,  -3.1894,  -2.6447,   0.6247,  10.9509,   3.7920,   3.5643,   0.4456,   0.6386,   0.8787
193001,  -2.7769,  10.0635,  21.8963,  11.8021,  10.9299,   7.8448,  12.0906,   8.9512,   4.7055,  14.5598,   9.6247,  10.6585,   4.1473,   6.3468,   4.1286,   8.4520,   6.1191,   5.5736,   3.4816,   3.9395,   6.8371,   7.6055,   0.6769,   4.9891,  -0.4104
193002,  16.9723,  14.2778,  -1.8447,  -1.4082,   2.7560,  -1.9117,   2.3173,   4.1591,   1.4123,   5.2390,   1.7809,   3.1474,   2.8768,   2.8388,   2.8365,   2.6019,   8.2043,  -1.2895,   0.2799,   1.0041,   2.9883,   4.5480,   1.1713,   1.4888,   4.9676
193003,  22.8187,  -1.8224,   9.0638,  16.7068,  11.7961,   6.2672,   4.6523,  14.0850,   8.3640,   5.5369,   9.5191,   8.4823,   6.3485,   9.6148,  14.1204,   8.5857,   6.8098,   6.8329,  12.1547,  10.9418,   6.5076,   6.1455,  11.4727,   4.4912,   2.1312
193004,  -6.9121,  -4.8411,  -6.4318,  -7.7391,  -5.3932,  -8.8133,  -4.7980,  -3.1293,  -3.8649,  -5.1737,  -3.8056,  -4.3531,  -5.0079,  -3.1781,  -2.4801,  -2.5085,  -5.2473,  -5.2602,  -5.1203,  -4.4542,  -0.8256,  -3.3276,   0.0444,  -6.1794,  -7.3356
193005,  -2.4085, -13.4212,   2.0615,  -5.1405,  -6.2496,  -5.8346,  -1.5137,  -5.2674,  -4.3309,  -2.5617,  -3.6907,  -0.5319,  -3.2308,  -3.0853,   0.3779,  -2.7179,  -3.6175,  -3.4578,  -0.1329,  -4.8121,   0.7935,   0.0636,  -2.0419,  -1.5224,  -0.7952
193006, -13.4475, -19.8604, -18.0562, -15.2347, -20.9092, -23.7959, -17.5658, -16.7456, -17.3954, -18.7022, -14.4283, -17.9878, -13.8546, -14.4696, -17.5016, -21.4890, -17.2509, -15.7879, -14.1465, -18.5017, -17.7473, -16.7821, -13.4031,  -9.5365,  -9.6586
